ItemCode,ITEM,EAN,Qty,RRP,Price  (£),NEW,ORDER,TOTAL VALUE,search_number
01-AR-MW-PS30,ARMANI MY WAY EDP-S 30ML,3614272907652,159,65.0,37.95,,,0.0,204369056
01-AR-MW-PS50,ARMANI MY WAY EDP-S 50ML,3614272907676,120,95.0,48.95,,,0.0,200510394
01-AR-MW-PS90,ARMANI MY WAY EDP-S 90ML,3614272907690,94,130.0,55.95,,,0.0,200510396
01-AR-RAIN-PS100-UK,ARMANI PRIVE ROSE D'ARABIE EDP-S 100ML,3605521347497,26,290.0,149.95,,,0.0,4696786
01-AR-ROIN-PS100-UK,ARMANI PRIVE OUD ROYAL EDP-S 100ML,3605521347671,57,290.0,149.95,,,0.0,NA
01-AR-SIP-PS30,ARMANI SI PASSIONE EDP-S 30ML,3614271994721,372,67.0,32.95,,,0.0,5980822
01-AR-SI-PS100,ARMANI SI EDP-S 100ML,3605521816658,25,130.0,59.95,,,0.0,4074598
01-AR-SI-PS15,ARMANI SI EDP-S 15ML,3614271579119,1000+,32.0,13.5,,,0.0,5968941
01-AR-SI-PS30,ARMANI SI EDP-S 30ML,3605521816511,358,67.0,36.5,,,0.0,4074523
01-AS-DR-TS50,ANNA SUI DREAMS EDT-S 50ML,085715081872,1000+,50.0,10.5,,,0.0,587461
01-AS-FAN-TS75,ANNA SUI FANTASIA EDT-S 75ML,085715297204,894,81.0,11.95,,,0.0,5913085
01-AS-FM-TS30,ANNA SUI FANTASIA MERMAID EDT-S 30ML,085715297228,168,42.0,7.5,,,0.0,NA
01-AS-FM-TS75,ANNA SUI FANTASIA MERMAID EDT-S 75ML,085715297181,509,84.0,10.95,,,0.0,5913085
01-AS-FOF-TS50,ANNA SUI FLIGHT OF FANCY EDT-S 50ML,085715082015,1000+,48.0,11.5,,,0.0,881689
01-AS-MY-TS50,ANNA SUI SUNDAE MELLOW YELLOW EDT-S 50ML,085715295385,835,50.0,11.95,,,0.0,204611776
01-AS-PP-TS50,ANNA SUI SUNDAE PRETTY PINK EDT-S 50ML,085715295378,189,50.0,11.95,,,0.0,NA
01-AS-SKY-TS75,ANNA SUI SKY EDT-S 75ML,085715064752,1000+,60.0,11.95,,,0.0,202160318
01-AS-SVV-TS50,ANNA SUI SUNDAE VIOLET VIBE EDT-S 50ML,085715295392,665,50.0,11.95,,,0.0,NA
01-BE-NO2-PS100,BILLIE EILISH EILISH NO2 EDP-S 100ML,608940583753,105,52.0,32.95,,,0.0,202830882
01-BS-BEL-PS100,BRITNEY SPEARS BELIEVE EDP-S 100ML,719346117722,1000+,44.0,9.5,,,0.0,966172
01-BS-BEL-PS30,BRITNEY SPEARS BELIEVE EDP-S 30ML,719346117708,1000+,30.0,5.95,,,0.0,NA
01-BS-CF-PS100,BRITNEY SPEARS CIRCUS FANTASY EDP-S 100ML,719346567442,1000+,44.0,7.75,,,0.0,2041145
01-BS-CF-TS100,BRITNEY SPEARS CANDIED FANTASY EDT-S 100ML,719346263566,1000+,42.0,11.5,,,0.0,NA
01-BS-CF-TS30,BRITNEY SPEARS CANDIED FANTASY EDT-S 30ML,719346263573,1000+,28.0,6.95,,,0.0,NA
01-BS-CUR-PS100,BRITNEY SPEARS CURIOUS EDP-S 100ML,719346034425,994,49.0,8.5,,,0.0,821947
01-BS-CUR-PS30,BRITNEY SPEARS CURIOUS EDP-S 30ML,719346034401,1000+,27.0,5.95,,,0.0,820506
01-BS-EF-TS100,BRITNEY SPEARS ELECTRIC FANTASY EDT-S 100ML,719346256360,1000+,37.0,7.95,,,0.0,202032949
01-BS-FAN-PS100,BRITNEY SPEARS FANTASY EDP-S 100ML,719346065405,1000+,49.0,10.95,,,0.0,838684
01-BS-FANS-TS100,BRITNEY SPEARS FANTASY SHEER EDT-S 100ML,719346256346,1000+,24.0,8.65,,,0.0,202712876
01-BS-FF-TS100,BRITNEY SPEARS FESTIVE FANTASY EDT-S 100ML,719346250436,1000+,37.0,8.95,,,0.0,201440298
01-BS-FI-PS100,BRITNEY SPEARS FANTASY INTENSE EDP-S 100ML,719346565868,309,47.0,10.95,,,0.0,202004369
01-BS-IF-PS100,BRITNEY SPEARS INTIMATE FANTASY EDP-S 100ML,719346191814,1000+,49.0,7.95,,,0.0,4993148
01-BS-JF-TS100,BRITNEY SPEARS JUNGLE FANTASY EDT-S 100ML,719346262170,1000+,42.0,9.95,,,0.0,203070351
01-BS-JF-TS30,BRITNEY SPEARS JUNGLE FANTASY EDT-S 30ML,719346262187,1000+,12.0,6.95,,,0.0,NA
01-BS-MF-PS100,BRITNEY SPEARS MIDNIGHT FANTASY EDP-S 100ML,719346094665,1000+,46.0,10.95,,,0.0,840849
01-BS-MF-PS30,BRITNEY SPEARS MIDNIGHT FANTASY EDP-S 30ML,719346107297,1000+,28.0,6.95,,,0.0,820481
01-BS-NF-TS100,BRITNEY SPEARS NAKED FANTASY EDT-S 100ML,719346228992,1000+,37.0,10.5,,,0.0,202135883
01-BS-NF-TS30,BRITNEY SPEARS NAKED FANTASY EDT-S 30ML,719346229005,1000+,28.0,6.95,,,0.0,NA
01-BU-BFH-TS100,BURBERRY BRIT FOR HER EDT-S 100ML,3614226905253,313,75.0,22.95,,,0.0,589094
01-BU-LON-PS100,BURBERRY LONDON FOR WOMEN EDP-S 100ML,3614226905185,1000+,96.0,21.95,,,0.0,735616
01-BU-LON-PS30,BURBERRY LONDON WOMEN EDP-S 30ML,3614226905208,480,47.0,13.5,,,0.0,448062
01-BU-LON-PS50,BURBERRY LONDON FOR WOMEN EDP-S 50ML,3614226905192,1000+,70.0,17.95,,,0.0,587467
01-BU-WKND-PS30,BURBERRY WEEKEND EDP-S 30ML,3614227748361,1000+,55.0,12.95,,,0.0,6982182
01-BU-WKND-PS50,BURBERRY WEEKEND EDP-S 50ML,3614227748323,825,62.0,13.95,,,0.0,598409
01-BU-WOM-PS100,BURBERRY ORIGINAL WOMEN EDP-S 100ML,3614226905666,325,96.0,22.95,,,0.0,201430704
01-BYR-BLAN-PS100-UK,BYREDO BLANCHE EDP-S 100ML,7340032860368,58,220.0,118.95,,,0.0,NA
01-BYR-BLAN-PS50-UK,BYREDO BLANCHE EDP-S 50ML,7340032860306,53,150.0,82.95,,,0.0,3341721
01-BYR-BS-PS50,BYREDO BLACK SAFFRON EDP-S 50ML,7340032860290,196,150.0,75.95,,,0.0,5214542
01-BYR-GW-HP75,BYREDO GYPSY WATER HAIR PERFUME 75ML,7340032860696,33,60.0,31.95,,,0.0,5567240
01-BYR-ME-PS100,BYREDO MIXED EMOTIONS EDP-S 100ML,7340032855302,71,220.0,108.95,,,0.0,201089857
01-BYR-MN-PS50,BYREDO MUMBAI NOISE EDP-S 50ML,7340032857801,120,150.0,72.95,,,0.0,201683755
01-BYR-RNML-PS50-UK,BYREDO ROSE OF NO MAN'S LAND EDP-S 50ML,7340032860931,94,150.0,89.95,,,0.0,6045234
01-BYR-SC-PS100,BYREDO SUPER CEDAR EDP-S 100ML,7340032815443,29,220.0,108.95,,,0.0,4994104
01-BYR-YR-PS100,BYREDO YOUNG ROSE EDP-S 100ML,7340032870336,29,220.0,112.95,,,0.0,201864059
01-CA-AMO-TS30,CACHAREL AMOR AMOR EDT-S 30ML,3360373063697,1000+,39.0,9.95,,,0.0,334960
01-CA-AMO-TS30-UK,CACHAREL AMOR AMOR EDT-S 30ML,3360373063697,710,39.0,9.95,,,0.0,NA
01-CA-AMO-TS50-UK,CACHAREL AMOR AMOR EDT-S 50ML,3360373063703,854,55.0,14.95,,,0.0,588776
01-CA-ANA-TS30-UK,CACHAREL ANAIS ANAIS EDT-S 30ML,3360370512044,1000+,39.0,10.5,,,0.0,334962
01-CA-EDE-PS30,CACHAREL EDEN EDP-S 30ML,3360373048861,1000+,35.0,9.75,,,0.0,NA
01-CA-NOA-TS50,CACHAREL NOA EDT-S 50ML,3360373016341,103,55.0,14.95,,,0.0,588787
01-CA-NOA-TS50-UK,CACHAREL NOA EDT-S 50ML,3360373016341,89,55.0,14.95,,,0.0,588787
01-CA-YIAD-PS50,CACHAREL YES I AM DELICIOUS EDP-S 50ML,3614273476140,1000+,78.0,9.95,,,0.0,NA
01-CD-ADD-PS100,DIOR ADDICT EDP-S 100ML,3348901181839,107,145.0,91.95,,,0.0,6830579
01-CD-ADD-PS30,DIOR ADDICT EDP-S 30ML,3348901182331,27,72.0,46.5,,,0.0,6830573
01-CD-ADD-TS50,DIOR ADDICT EDT-S 50ML,3348901206167,42,88.0,48.95,,,0.0,4392170
01-CD-DUN-TS100,DIOR DUNE EDT-S 100ML,3348900103870,39,122.0,75.95,,,0.0,607439
01-CD-HYP-PS50,DIOR HYPNOTIC POISON EDP-S 50ML,3348901192224,48,104.0,66.95,New In,,0.0,NA
01-CD-HYP-TS50,DIOR HYPNOTIC POISON EDT-S 50ML,3348900378575,54,82.0,52.95,,,0.0,606954
01-CD-JAD-PS100,DIOR J'ADORE EDP-S 100ML,3348900417878,8,145.0,89.95,,,0.0,589105
01-CD-JOY-PS50,DIOR JOY EDP-S 50ML,3348901419086,23,104.0,59.95,,,0.0,6284862
01-CD-POIG-PS50,DIOR POISON GIRL EDP-S 50ML,3348901293839,2,97.0,61.95,,,0.0,4944814
01-CD-POIG-TS100,DIOR POISON GIRL EDT-S 100ML,3348901345736,84,122.0,72.95,,,0.0,5396307
01-CD-POIG-TS30,DIOR POISON GIRL EDT-S 30ML,3348901345743,233,66.0,37.95,,,0.0,5396308
01-CD-POIG-TS50,DIOR POISON GIRL EDT-S 50ML,3348901345729,54,88.0,50.95,,,0.0,NA
01-CD-POI-TS50,DIOR POISON EDT-S 50ML,3348900011632,50,88.0,53.95,,,0.0,589111
01-CD-PP-PS30,DIOR PURE POISON EDP-S 30ML,3348900606692,124,72.0,45.5,,,0.0,325652
01-CD-PP-PS50,DIOR PURE POISON EDP-S 50ML,3348900606708,48,97.0,61.95,New In,,0.0,589112
01-CER-FEM-2729,CERRUTI 1881 POUR FEMME EDT-S 50ML,5050456522729,1000+,43.0,9.99,,,0.0,588958
01-CER-FEM-TS100,CERRUTI 1881 POUR FEMME EDT-S 100ML,5050456522736,1000+,54.0,16.5,,,0.0,NA
01-CHA-ALL-PS35,CHANEL ALLURE EDP-S 35ML,3145891124408,197,75.0,47.95,,,0.0,324623
01-CHA-ALL-PS50,CHANEL ALLURE EDP-S 50ML,3145891124309,24,104.0,71.95,,,0.0,953145
01-CHA-ALLTE-HM35,CHANEL ALLURE TENDRE HAIR MIST 35ML,3145891129908,13,60.0,38.95,,,0.0,NA
01-CHA-ALL-TS50,CHANEL ALLURE EDT-S 50ML,3145891124507,35,88.0,60.95,,,0.0,588984
01-CHA-CHNF-HM35,CHANEL CHANCE EAU FRAICHE HAIR MIST 35ML,3145891369908,6,60.0,38.95,,,0.0,NA
01-CHA-CHNT-TS50,CHANEL CHANCE EAU TENDRE EDT-S 50ML,3145891263107,3,116.0,68.95,New In,,0.0,NA
01-CHA-CHNV-HM35,CHANEL CHANCE EAU VIVE HAIR MIST 35ML,3145891266603,7,60.0,38.95,,,0.0,NA
01-CHA-COM-HM35,CHANEL COCO MADEMOISELLE HAIR MIST 35ML,3145891169973,8,60.0,43.95,,,0.0,NA
01-CHA-CONO-PS35,CHANEL COCO NOIR EDP-S 35ML,3145891136203,42,75.0,51.5,,,0.0,4156462
01-CHA-CO-TS50,CHANEL COCO EDT-S 50ML,3145891234503,72,88.0,62.95,,,0.0,589006
01-CHA-GAB-PS50,CHANEL GABRIELLE EDP-S 50ML,3145891204254,15,104.0,75.95,,,0.0,5719318
01-CHA-NO5-54709,CHANEL NO 5 RECHARGEABLE EDP-S 60ML,3145891254709,27,119.0,76.95,,,0.0,NA
01-CHA-NO5-PS35,CHANEL NO 5 EDP-S 35ML,3145891252309,5,75.0,55.95,New In,,0.0,324612
01-CHA-NO5-RPS60,CHANEL NO 5 RECHARGEABLE EDP-S 60ML,3145891254501,106,119.0,76.95,,,0.0,NA
01-CHA-NO5-RTS50,CHANEL NO 5 RECHARGEABLE EDT-S 50ML,3145891054507,70,84.0,71.95,,,0.0,200875031
01-CHE-212-DSP150,CAROLINA HERRERA 212 NYC DEO SPRAY 150ML,8411061805893,1000+,26.5,8.95,,,0.0,2132272
01-CHL-LST-PS50,CHLOE LOVE STORY EDP-S 50ML,3607342635838,41,90.0,42.95,,,0.0,4486224
01-CHL-NAT-PS30,CHLOE ROSE NATURELLE EDP-S 30ML,3614228842839,58,71.0,31.95,,,0.0,201541979
01-CHL-NAT-PS50,CHLOE ROSE NATURELLE EDP-S 50ML,3614228842785,32,71.0,44.95,,,0.0,201541978
01-CHL-NOM-PS30,CHLOE NOMADE EDP-S 30ML,3614223111404,53,68.0,29.95,,,0.0,6044802
01-CHL-NOM-PS75,CHLOE NOMADE EDP-S 75ML,3614223113347,3,119.0,52.95,,,0.0,6044817
01-CHL-SIG-PS10,CHLOE SIGNATURE ROLLER BALL EDP-S 10ML,3607342697706,461,25.0,11.95,,,0.0,5724077
01-CHL-SIG-PS30,CHLOE SIGNATURE EDP-S 30ML,688575201901,824,68.0,30.95,,,0.0,973198
01-CHL-SIG-PS50,CHLOE SIGNATURE EDP-S 50ML,3607346232347,103,95.0,41.95,,,0.0,967800
01-CHL-SIG-PS50-UK,CHLOE SIGNATURE EDP-S 50ML,3607346232347,989,95.0,38.95,,,0.0,NA
01-CHL-SIGRNI-PS30,CHLOE SIGNATURE ROSE NATURELLE INTENSE EDP-S 30ML,3616302038626,64,75.0,33.95,,,0.0,202096818
01-CHL-SIGRNI-PS50,CHLOE SIGNATURE ROSE NATURELLE INTENSE EDP-S 50ML,3616302038312,9,100.0,48.95,,,0.0,202096817
01-CK-CK1-07681-UK,CK CK1 EDT-S 50ML,088300107681,1000+,30.0,10.45,,,0.0,102553
01-CK-CK1-DSP150,CK ONE DEO SPRAY 150ML,3614225971518,1000+,17.0,5.95,,,0.0,NA
01-CK-CK1-DST75,CK ONE DEO STICK 75G,088300108978,924,13.0,5.25,,,0.0,804968
01-CK-CKBE-TS200,CK CKBE EDT-S 200ML,088300104437,719,72.0,14.95,,,0.0,609164
01-CK-CONT-PS100,CK CONTRADICTION EDP-S 100ML,088300602513,1000+,74.0,14.25,,,0.0,588807
01-CK-ESC-PS100,CK ESCAPE EDP-S 100ML,088300608409,1000+,70.0,15.75,,,0.0,588816
01-CK-ETEF-PS100,CK ETERNITY FLAME EDP-S 100ML,3614225671333,1000+,74.0,13.25,,,0.0,6431359
01-CK-ETEF-PS100-UK,CK ETERNITY FLAME EDP-S 100ML,3614225671333,1000+,74.0,13.25,,,0.0,6431359
01-CK-ETEM-PS30,CK ETERNITY MOMENT EDP-S 30ML,088300156009,1000+,35.0,7.95,,,0.0,323127
01-CK-ETEM-PS50,CK ETERNITY MOMENT EDP-S 50ML,088300139484,58,59.0,9.95,,,0.0,588834
01-CK-ETE-PS30-UK,CK ETERNITY EDP-S 30ML,088300601387,142,45.0,14.95,,,0.0,102585
01-CK-ETE-PS50-UK,CK ETERNITY EDP-S 50ML,088300601301,59,59.0,17.95,,,0.0,588823
01-CK-EUP-PS30,CK EUPHORIA EDP-S 30ML,088300162567,1000+,45.0,14.95,,,0.0,484784
01-CK-EUP-PS50,CK EUPHORIA EDP-S 50ML,088300162543,120,66.0,20.95,,,0.0,588851
01-CK-EUP-PS50-UK,CK EUPHORIA EDP-S 50ML,088300162543,993,66.0,20.95,,,0.0,588851
01-CK-IN2U-TS100,CALVIN KLEIN CKIN2U HER EDT-S 100ML,088300196814,1000+,55.0,11.5,,,0.0,743847
01-CK-IN2U-TS50,CALVIN KLEIN CKIN2U HER EDT-S 50ML,088300196852,1000+,31.0,8.5,,,0.0,742425
01-CK-OBSN-PS100,CK OBSESSION NIGHT EDP-S 100ML,088300150410,240,71.0,11.95,,,0.0,588874
01-CK-OBS-PS100,CK OBSESSION EDP-S 100ML,088300603404,347,84.0,13.95,,,0.0,588867
01-CK-OBS-PS50,CK OBSESSION EDP-S 50ML,088300603305,209,57.0,11.95,,,0.0,588862
01-CK-ONE-TS100-UK,CK ONE EDT-S 100ML,088300107407,1000+,55.0,13.95,,,0.0,609169
01-CK-SHO-TS200,CK ONE SHOCK FOR HER EDT-S 200ML,3607342401860,149,59.0,13.75,,,0.0,2923558
01-CQ-ARO-BS200,CLINIQUE AROMATICS BODY SMOOTHER 200ML,020714012786,1000+,42.0,12.75,,,0.0,589121
01-CQ-ARO-PS25,CLINIQUE AROMATICS ELIXIR EDP-S 25ML,020714005887,1000+,45.0,8.25,,,0.0,325098
01-CQ-ARO-PS45,CLINIQUE AROMATICS ELIXIR EDP-S 45ML,020714001940,1000+,59.0,11.5,,,0.0,589127
01-CQ-HAP-PS30,CLINIQUE HAPPY EDP-S 30ML,020714997298,1000+,39.0,7.5,,,0.0,325073
01-CQ-HH-PS100,CLINIQUE HAPPY HEART EDP-S 100ML,020714881429,1000+,68.0,12.95,,,0.0,604135
01-CR-CAR-PS30,CREED CARMINA EDP-S 30ML,3508440251428,40,165.0,90.95,,,0.0,203806044
01-CR-CAR-PS75,CREED CARMINA EDP-S 75ML,3508440251435,50,260.0,135.95,,,0.0,203358343
01-CR-SMW-SG200,CREED SLIVER MOUNTAIN WATER SHOWER GEL 200ML,3508443107357,7,85.0,35.95,,,0.0,NA
01-CR-SPRFL-PS75,CREED SPRING FLOWER EDP-S 75ML,3508440561800,15,260.0,125.95,,,0.0,871145
01-CR-WF-PS75,CREED WIND FLOWERS EDP-S 75ML,3508440506856,11,260.0,142.95,,,0.0,202284599
01-CT-BAV-PS100-UK,CARTIER BAISER VOLE EDP-S 100ML,3432240026750,169,139.0,52.95,,,0.0,2848162
01-DAV-CWOE-TS100,DAVIDOFF COOL WATER OCEANIC EDITION FOR WOMAN EDT-S 100ML,3616303467388,622,70.0,11.5,,,0.0,NA
01-DAV-CW-TS30-UK,DAVIDOFF COOL WATER WOMAN EDT-S 30ML,3414202011820,1000+,32.0,8.5,,,0.0,102765
01-DAV-CW-TS50,DAVIDOFF COOL WATER WOMAN EDT-S 50ML,3414202011769,840,44.0,9.75,,,0.0,590000
01-DAV-CW-TS50-UK,DAVIDOFF COOL WATER WOMAN EDT-S 50ML,3414202011769,1000+,44.0,9.5,,,0.0,590000
01-DG-LB-TS100-UK,D&G LIGHT BLUE EDT-S 100ML,8057971180318,105,104.0,30.95,,,0.0,585621
01-DG-LB-TS25-UK,D&G LIGHT BLUE EDT-S 25ML,3423473020257,604,52.0,17.95,,,0.0,NA
01-DG-LB-TS50,D&G LIGHT BLUE EDT-S 50ML,8057971180349,237,71.0,24.95,,,0.0,NA
01-DG-LB-TS50-UK,D&G LIGHT BLUE EDT-S 50ML,8057971180349,743,75.0,21.75,,,0.0,NA
01-DG-NO3-TS100,D&G L'IMPERATRICE EDT-S 100ML,8057971182053,1000+,66.0,22.95,,,0.0,NA
01-DG-ONE-20998-UK,D&G THE ONE EDP-S 50ML,3423473020998,161,91.0,33.95,,,0.0,NA
01-DG-ONE-PS30-UK,D&G THE ONE EDP-S 30ML,3423473020981,586,65.0,24.95,,,0.0,NA
01-DG-Q-PS50-UK,D&G Q EDP-S 50ML,8057971183654,422,89.0,24.95,,,0.0,NA
01-DI-D-TS10,DIESEL D BY DIESEL EDT-S 10ML,3614273734561,567,14.0,4.25,,,0.0,NA
01-DI-FFL-PS50,DIESEL FUEL 4 LIFE WOMAN EDP-S 50ML,3605520385568,1000+,65.0,11.75,,,0.0,
01-DI-LOV-PS75-UK,DIESEL LOVERDOSE EDP-S 75ML,3605521132499,297,66.0,19.95,,,0.0,
01-DK-BDOS-PS50,DKNY BE DELICIOUS ORCHARD STREET EDP-S 50ML,085715950420,1000+,62.0,15.95,,,0.0,
01-DK-BDPPB-TS50,DKNY BE DELICIOUS POOL PARTY BAY BREEZE EDT-S 50ML,085715950345,1000+,62.0,13.95,,,0.0,
01-DK-BDPP-TS50,DKNY BE DELICIOUS POOL PARTY MAI TAI EDT-S 50ML,085715950352,1000+,43.0,13.95,,,0.0,
01-DK-BTBL-PS100,DKNY BE TEMPTED EAU SO BLUSH EDP-S 100ML,085715950208,1000+,74.0,16.95,,,0.0,
01-DK-BT-PS100,DKNY BE TEMPTED EDP-S 100ML,085715950178,1000+,74.0,17.5,,,0.0,
01-DK-DEL-50024,DKNY BE DELICIOUS EDP-S 30ML,085715950024,449,47.0,13.95,,,0.0,
01-DK-DEL-PS50,DKNY BE DELICIOUS EDP-S 50ML,085715950017,274,62.0,19.95,,,0.0,
01-DK-DK-30930,DKNY WOMEN EDT-S 100ML,022548230930,248,62.0,17.95,,,0.0,
01-DK-DKFE-PS100,DKNY WOMEN FALL LIMITED EDITION EDP-S 100ML,085715950314,1000+,75.0,18.95,,,0.0,
01-DK-DK-FM250,DKNY WOMEN ENERGIZING FRAGRANCE MIST 250ML,085715950581,421,17.0,5.95,,,0.0,
01-DK-DK-PS100,DKNY WOMEN EDP-S 100ML,763511100019,1000+,81.0,21.95,,,0.0,
01-DK-DK-TS100,DKNY WOMEN EDT-S 100ML,085715950284,1000+,62.0,17.95,,,0.0,
01-DK-EDEL-PS100,DKNY BE EXTRA DELICIOUS EDP-S 100ML,085715950147,1000+,81.0,17.95,,,0.0,
01-DK-EDEL-PS30,DKNY BE EXTRA DELICIOUS EDP-S 30ML,085715950161,912,47.0,10.95,,,0.0,
01-DK-FB-50093,DKNY FRESH BLOSSOM EDP-S 50ML,085715950093,475,58.0,11.95,,,0.0,
01-DK-FB-PS100,DKNY FRESH BLOSSOM EDP-S 100ML,085715950086,1000+,81.0,17.95,,,0.0,
01-DK-GOLD-PS100,DKNY GOLDEN DELICIOUS EDP-S 100ML,085715950116,1000+,70.0,15.75,,,0.0,
01-DK-NL-PS100,DKNY NECTAR LOVE EDP-S 100ML,085715950222,837,81.0,15.75,,,0.0,
01-DSQ-REDW-TS50,DSQUARED2 RED WOOD POUR FEMME EDT-S 50ML,8011003852680,362,59.5,7.5,,,0.0,
01-EA-5A-PS125,ELIZABETH ARDEN 5TH AVENUE EDP-S 125ML,085805390600,1000+,54.0,11.95,,,0.0,
01-EA-5AVNY-PS125,ELIZABETH ARDEN 5TH AVENUE NYC EDP-S 125ML,085805156602,1000+,54.0,8.45,,,0.0,
01-EA-5THAV-PS30,ELIZABETH ARDEN 5TH AVENUE EDP-S 30ML,085805390402,1000+,33.0,5.25,,,0.0,
01-EA-GTC-TS100,ELIZABETH ARDEN GREEN TEA CUCUMBER EDT-S 100ML,085805188016,1000+,31.0,5.25,,,0.0,
01-EA-GTS-TS100,ELIZABETH ARDEN GREEN TEA SUMMER EDT-S 100ML,085805036577,1000+,35.0,5.25,,,0.0,
01-EA-GT-TS30,ELIZABETH ARDEN GREEN TEA EDT-S 30ML,085805763749,622,19.0,3.75,,,0.0,
01-EA-GTT-TS100,ELIZABETH ARDEN GREEN TEA TROPICAL EDT-S 100ML,085805069308,1000+,31.0,5.5,,,0.0,
01-EA-RED-TS100,ELIZABETH ARDEN RED DOOR EDT-S 100ML,085805558420,1000+,60.0,11.95,,,0.0,
01-EA-SUN-TS100,ELIZABETH ARDEN SUNFLOWERS EDT-S 100ML,085805757748,653,34.0,6.5,,,0.0,
01-EL-BB-PS50,ESTEE LAUDER BEAUTIFUL BELLE EDP-S 50ML,887167330436,1000+,79.0,18.95,,,0.0,
01-EL-BEA-PS30,ESTEE LAUDER BEAUTIFUL EDP-S 30ML,027131086864,1000+,55.0,11.75,,,0.0,
01-EL-BEA-PS75,ESTEE LAUDER BEAUTIFUL EDP-S 75ML,027131086871,1000+,85.0,22.95,,,0.0,
01-EL-CIN-PS50,ESTEE LAUDER CINNABAR EDP-S 50ML,887167095878,869,70.0,28.5,,,0.0,
01-EL-ES-PS50,ESTEE LAUDER ESTEE EDP-S 50ML,887167095885,1000+,70.0,23.95,,,0.0,
01-EL-MM-PS50,ESTEE LAUDER MODERN MUSE EDP-S 50ML,027131261612,1000+,85.0,19.5,,,0.0,
01-EL-PC-PS50,ESTEE LAUDER PRIVATE COLLECTION EDP-S 50ML,027131019817,1000+,70.0,23.95,,,0.0,
01-EL-PLSI-PS100,ESTEE LAUDER PLEASURES INTENSE EDP-S 100ML,027131286905,1000+,80.0,22.5,,,0.0,
01-EL-PLS-PS100,ESTEE LAUDER PLEASURES EDP-S 100ML,027131043317,829,80.0,21.95,,,0.0,
01-EL-PLS-PS30,ESTEE LAUDER PLEASURES EDP-S 30ML,027131043287,1000+,55.0,9.5,,,0.0,
01-EL-PLS-PS50,ESTEE LAUDER PLEASURES EDP-S 50ML,027131043294,1000+,70.0,12.5,,,0.0,
01-EL-SB-PS50,ESTEE LAUDER SPELLBOUND EDP-S 50ML,887167095915,1000+,70.0,29.95,,,0.0,
01-EL-SEN-PS50,ESTEE LAUDER SENSUOUS EDP-S 50ML,027131595045,1000+,70.0,15.5,,,0.0,
01-EL-YD-PS65,ESTEE LAUDER YOUTH DEW EDP-S 67ML,027131017752,1000+,60.0,11.5,,,0.0,
01-ES-LEPA-PS30,ELIE SAAB LE PARFUM EDP-S 30ML,7640233340004,756,49.0,18.95,,,0.0,
01-ES-LEPA-PS50,ELIE SAAB LE PARFUM EDP-S 50ML,7640233340028,55,70.0,26.95,,,0.0,
01-ET-WD-TS100,ELIZABETH TAYLOR WHITE DIAMONDS EDT-S 100ML,719346022705,604,52.0,12.95,,,0.0,
01-FLO-ARF-PS100,FLORIS A ROSE FOR EDP-S 100ML,886266761042,21,180.0,66.95,,,0.0,
